Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Engine Capacity,Images
151999,A4 Mild Hybrid 2.0A TFSI S-tronic,Audi,14050,29-Dec-2020,Luxury,7000,1984,https://i.i-sgcm.com/cars_used/202107/1013538_small.jpg
172999,RS 3 Sportback 2.5A TFSI Quattro,Audi,26880,14-Sep-2016,Sports,71000,2480,https://i.i-sgcm.com/cars_used/202105/994056_small.jpg
199999,A5 Coupe Mild Hybrid 2.0A TFSI S-tronic,Audi,18600,30-Jan-2021,Sports,55,1984,https://i.i-sgcm.com/cars_used/202105/991341_small.jpg
98999,A3 Sedan 1.4A TFSI CoD S-tronic,Audi,11850,09-Oct-2018,Luxury,43000,1395,https://i.i-sgcm.com/cars_used/202108/1022688_small.jpg
82999,A3 Sportback 1.0A TFSI S-tronic,Audi,12260,06-Oct-2017,Hatchback,46000,999,https://i.i-sgcm.com/cars_used/202107/1015191_small.jpg
107800,Q2 1.4A TFSI CoD S-tronic,Audi,12990,06-Sep-2018,SUV,55000,1395,https://i.i-sgcm.com/cars_used/202106/1007447_small.jpg
101999,A3 Sedan 1.0A TFSI S-tronic,Audi,11260,30-Aug-2019,Luxury,27415,999,https://i.i-sgcm.com/cars_used/202106/1006377_small.jpg
108000,Q2 1.0A TFSI S-tronic,Audi,11880,27-Aug-2019,SUV,55500,999,https://i.i-sgcm.com/cars_used/202108/1022708_small.jpg
85500,Q5 2.0A TFSI Quattro S-tronic,Audi,15690,30-Apr-2015,SUV,60000,1984,https://i.i-sgcm.com/cars_used/202107/1010483_small.jpg
106800,Q2 1.4A TFSI CoD S-tronic,Audi,12960,01-Aug-2018,SUV,39000,1395,https://i.i-sgcm.com/cars_used/202107/1014083_small.jpg
118800,RS 3 Sportback 2.5A TFSI Quattro (COE till 04/2031),Audi,12240,13-Jan-2012,Sports,124000,2480,https://i.i-sgcm.com/cars_used/202105/996007_small.jpg
110800,Q2 1.4A TFSI CoD S-tronic,Audi,13090,10-Nov-2018,SUV,50000,1395,https://i.i-sgcm.com/cars_used/202106/1008304_small.jpg
79800,Q3 1.4A TFSI S-Tronic,Audi,13670,24-Mar-2016,SUV,66033,1395,https://i.i-sgcm.com/cars_used/202108/1022675_small.jpg
53800,A3 Sedan 1.4A TFSI Ambiente,Audi,12320,19-May-2015,Luxury,110000,1395,https://i.i-sgcm.com/cars_used/202103/980866_small.jpg
108000,A7 Sportback 2.8A FSI Quattro (COE till 07/2031),Audi,10870,22-Jul-2011,Luxury,88000,2773,https://i.i-sgcm.com/cars_used/202107/1016120_small.jpg
108800,A8L 3.0A TFSI Quattro (COE till 12/2030),Audi,11640,22-Dec-2010,Luxury,74100,2995,https://i.i-sgcm.com/cars_used/202105/996934_small.jpg
169800,R8 4.2A FSI Quattro R-tronic (COE till 01/2028),Audi,26290,31-Jan-2008,Sports,76600,4163,https://i.i-sgcm.com/cars_used/202106/1009276_small.jpg
74998,A4 1.4A TFSI S-tronic,Audi,13640,19-Feb-2016,Luxury,63304,1395,https://i.i-sgcm.com/cars_used/202108/1022344_small.jpg
75500,Q3 1.4A TFSI S-Tronic,Audi,13390,31-Dec-2015,SUV,90300,1395,https://i.i-sgcm.com/cars_used/202107/1010758_small.jpg
88800,A6 1.8A TFSI S-tronic,Audi,14670,31-Dec-2015,Luxury,79400,1798,https://i.i-sgcm.com/cars_used/202106/1008663_small.jpg
73800,Q3 1.4A TFSI S-Tronic,Audi,14400,31-Jul-2015,SUV,77700,1395,https://i.i-sgcm.com/cars_used/202106/1006793_small.jpg
75775,A4 2.0A TFSI Quattro S-tronic (COE till 07/2030),Audi,8470,28-Jul-2010,Luxury,140000,1984,https://i.i-sgcm.com/cars_used/202107/1017307_small.jpg
67500,A3 Sedan 1.4A TFSI S-tronic Attraction,Audi,11970,21-Jul-2016,Luxury,88000,1395,https://i.i-sgcm.com/cars_used/202107/1013412_small.jpg
53500,A4 1.8A TFSI MU,Audi,12870,28-Nov-2014,Luxury,93500,1798,https://i.i-sgcm.com/cars_used/202108/1019747_small.jpg
75200,A6 1.8A TFSI Ultra S-tronic,Audi,14020,28-May-2015,Luxury,110254,1798,https://i.i-sgcm.com/cars_used/202104/982102_small.jpg
155988,A5 Cabriolet 2.0A TFSI S-tronic Design,Audi,20680,09-Oct-2017,Sports,34000,1984,https://i.i-sgcm.com/cars_used/202108/1020622_small.jpg
89988,A5 Cabriolet 2.0A TFSI Quattro S-tronic,Audi,20420,08-May-2014,Sports,67000,1984,https://i.i-sgcm.com/cars_used/202107/1015162_small.jpg
73800,A6 2.0A TFSI MU,Audi,14980,10-Mar-2015,Luxury,83000,1984,https://i.i-sgcm.com/cars_used/202108/1020010_small.jpg
143800,A5 Coupe 2.0A TFSI S-tronic Design,Audi,17400,12-Jun-2018,Sports,23000,1984,https://i.i-sgcm.com/cars_used/202102/967663_small.jpg
